貸借取引対象銘柄一覧,20251219,,,,,,,,,
貸借申込日,コード,銘柄名,貸借銘柄区分（東証）,貸借銘柄区分（ＣＸＪ）,貸借銘柄区分（ＪＮＸ）,貸借銘柄区分（ＯＤＸ）,貸借銘柄区分（ＪＡＸ）,貸借銘柄区分（名証）,貸借銘柄区分（福証）,貸借銘柄区分（札証）
20251222,1929,日特建設,1,1,1,1,1,0,0,0
20251222,192A,インテグループ,2,2,2,2,2,0,0,0
20251222,1930,北陸電気工事,1,1,1,1,1,0,0,0
20251222,1934,ユアテック,1,1,1,1,1,0,0,0
20251222,1938,日本リーテック,2,2,2,2,2,0,0,0
20251222,1939,四電工,1,1,1,1,1,0,0,0
20251222,1941,中電工,1,1,1,1,1,0,0,0
20251222,1942,関電工,1,1,1,1,1,0,0,0
20251222,1944,きんでん,1,1,1,1,1,0,0,0
20251222,1945,東京エネシス,1,1,1,1,1,0,0,0
20251222,1946,トーエネック,1,1,1,1,1,1,0,0
20251222,1948,弘電社,2,2,2,2,2,0,0,0
20251222,1949,住友電設,1,1,1,1,1,0,0,0
20251222,194A,ＷＯＬＶＥＳ,2,2,2,2,2,0,0,0
20251222,1950,日本電設工業,1,1,1,1,1,0,0,0
20251222,1951,エクシオグループ,1,1,1,1,1,0,0,0
20251222,1952,新日本空調,1,1,1,1,1,0,0,0
20251222,1959,クラフティア,1,1,1,1,1,0,1,0
20251222,195A,ＭＵＳＣＡＴ　Ｇ,2,2,2,2,2,0,0,0
20251222,1960,サンテック,2,2,2,2,2,0,0,0
20251222,1961,三機工業,1,1,1,1,1,0,0,0
20251222,1963,日揮ホールディングス,1,1,1,1,1,0,0,0
20251222,1964,中外炉工業,1,2,2,2,2,0,0,0
20251222,1965,テクノ菱和,1,2,2,2,2,0,0,0
20251222,1966,高田工業所,1,2,2,2,2,0,1,0
20251222,1967,ヤマト,1,2,1,1,1,0,0,0
20251222,1968,太平電業,1,1,1,1,1,0,0,0
20251222,1969,高砂熱学工業,1,1,1,1,1,0,0,0
20251222,196A,ＭＦＳ,2,2,2,2,2,0,0,0
20251222,1972,三晃金属工業,1,2,2,2,2,0,0,0
20251222,1975,朝日工業社,1,1,1,1,1,0,0,0
20251222,1976,明星工業,1,1,1,1,1,0,0,0
20251222,1979,大氣社,1,1,1,1,1,0,0,0
20251222,197A,タウンズ,1,2,2,2,2,0,0,0
20251222,1980,ダイダン,1,1,1,1,1,0,0,0
20251222,1981,協和日成,2,2,2,2,2,0,0,0
20251222,1982,日比谷総合設備,1,1,1,1,1,0,0,0
20251222,198A,ＰｏｓｔＰｒｉｍｅ,2,2,2,2,2,0,0,0
20251222,1992,神田通信機,2,2,2,2,2,0,0,0
20251222,1994,高橋カーテンウォール,2,2,2,2,2,0,0,0
